time,Solar Panel (45)_voltage,Solar Panel (45)_current,Battery 1 (44)_voltage,Battery 1 (44)_current,Battery 2 (41)_voltage,Battery 2 (41)_current,Load (40)_voltage,Load (40)_current,Battery 2 (42)_voltage,Battery 2 (42)_current,Load (43)_voltage,Load (43)_current
20:19:26,0.392,-1,12.776,-13,12.792,-129,12.756,134,12.792,-129,12.756,135
20:19:27,0.392,-1,12.776,-13,12.792,-129,12.756,135,12.792,-129,12.756,135
20:19:28,0.392,-1,12.776,-13,12.792,-129,12.756,134,12.792,-129,12.756,135
20:19:29,0.392,-1,12.776,-13,12.792,-129,12.756,134,12.792,-129,12.756,135
20:19:30,0.392,-1,12.776,-13,12.792,-129,12.756,134,12.792,-129,12.756,135
20:19:31,0.392,-1,12.776,-13,12.792,-129,12.756,134,12.792,-129,12.756,135
20:19:32,0.392,-1,12.776,-13,12.792,-129,12.756,134,12.792,-129,12.756,135
20:19:33,0.392,-1,12.776,-13,12.792,-129,12.756,134,12.792,-129,12.756,135
20:19:34,0.392,-1,12.776,-13,12.792,-129,12.756,134,12.792,-129,12.756,135
20:19:35,0.392,-1,12.776,-13,12.792,-129,12.756,134,12.792,-129,12.756,135
20:19:36,0.392,-1,12.776,-13,12.792,-129,12.756,134,12.792,-129,12.756,135
20:19:37,0.392,-1,12.776,-13,12.792,-129,12.756,134,12.792,-129,12.756,135
20:19:38,0.392,-1,12.776,-13,12.792,-129,12.756,133,12.792,-129,12.756,135
20:19:39,0.392,-1,12.776,-13,12.792,-129,12.756,134,12.792,-129,12.756,135
20:19:40,0.392,-1,12.776,-13,12.792,-129,12.756,134,12.792,-129,12.756,135
20:19:41,0.392,-1,12.776,-13,12.792,-129,12.76,134,12.792,-129,12.756,135
20:19:42,0.392,-1,12.776,-13,12.792,-129,12.756,133,12.792,-129,12.756,135
20:19:43,0.392,-1,12.776,-14,12.792,-130,12.756,134,12.792,-129,12.756,135
20:19:44,0.392,-1,12.776,-13,12.792,-129,12.756,134,12.792,-129,12.756,135
20:19:45,0.392,-1,12.776,-13,12.792,-129,12.756,134,12.792,-129,12.756,135
20:19:46,0.392,-1,12.776,-14,12.792,-129,12.756,136,12.792,-129,12.756,135
20:19:47,0.392,-1,12.776,-13,12.792,-129,12.756,134,12.792,-129,12.756,135
20:19:48,0.392,-1,12.772,-13,12.792,-130,12.756,135,12.792,-129,12.756,135
20:19:49,0.392,-1,12.776,-13,12.792,-129,12.756,135,12.792,-129,12.756,135
20:19:50,0.392,-1,12.776,-14,12.792,-130,12.756,134,12.792,-129,12.756,135
20:19:51,0.392,-1,12.776,-13,12.792,-129,12.756,134,12.792,-129,12.756,135
20:19:52,0.392,-1,12.772,-14,12.792,-129,12.756,136,12.792,-129,12.756,135
20:19:53,0.392,-1,12.776,-13,12.792,-129,12.756,134,12.792,-129,12.756,135
20:19:54,0.392,-1,12.772,-13,12.792,-130,12.756,134,12.792,-129,12.756,135
20:19:55,0.392,-1,12.776,-13,12.792,-129,12.756,135,12.792,-129,12.756,135
20:19:56,0.392,-1,12.776,-14,12.792,-129,12.756,134,12.792,-129,12.756,135
20:19:57,0.392,-1,12.776,-13,12.792,-129,12.756,134,12.792,-129,12.756,135
20:19:58,0.392,-1,12.776,-13,12.792,-130,12.756,134,12.792,-129,12.756,135
20:19:59,0.392,-1,12.776,-13,12.792,-129,12.757,137,12.792,-129,12.756,135
